Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
188.67383	0.20273319	-0.008102321	0.12494174	0.24178116	1.9137373	2.11647049	0.117048062	5.94394509
189.67383	0.21346048	-0.007983085	0.12565796	0.24333285	1.9224865	2.13594698	0.123241466	5.98091998
190.67383	0.20423734	-0.007893804	0.12658587	0.24527793	1.9259938	2.13023114	0.117916483	5.98221874
191.67383	0.21132143	-0.007753664	0.12732719	0.24690072	1.9323151	2.14363653	0.122006484	6.00826673
192.67383	0.19494864	-0.00806792	0.12802032	0.2479727	1.9372823	2.13223094	0.11255365	6.00679554
193.67383	0.19236107	-0.008140585	0.12884478	0.249549	1.941228	2.13358907	0.111059716	6.01604507
194.67383	0.20315365	-0.008264759	0.12953734	0.25080991	1.9462205	2.14937415	0.117290815	6.04181515
195.67383	0.1953326	-0.008387771	0.13028619	0.2521846	1.9520956	2.1474282	0.112775329	6.0516194
196.67383	0.19713287	-0.007973045	0.13106202	0.25415099	1.9562074	2.15334027	0.113814716	6.06575507
197.67383	0.19321601	-0.008280807	0.13178578	0.25529075	1.9624937	2.15570971	0.111553315	6.08069711
198.67383	0.18950471	-0.008254371	0.13255693	0.25685948	1.9662217	2.15572641	0.109410595	6.08816981
199.67383	0.19495334	-0.008413218	0.13331586	0.2582185	1.9726532	2.16760654	0.112556363	6.11291294
200.67383	0.19959405	-0.008337013	0.13403575	0.25973448	1.9743418	2.17393585	0.115235678	6.12261945
201.67383	0.19596022	-0.008376584	0.13478486	0.26119313	1.9816847	2.17764492	0.113137686	6.14101432
202.67383	0.19689222	-0.008502647	0.13552716	0.2625517	1.9874727	2.18436492	0.113675776	6.15931032
203.67383	0.19274686	-0.008464943	0.13619712	0.26392931	1.9942371	2.18698396	0.111282452	6.17545816
204.67383	0.20317239	-0.008490989	0.13685015	0.26520932	1.9958051	2.19897749	0.117301634	6.19058769
205.67383	0.18994108	-0.008558486	0.13758527	0.26661205	2.000612	2.19055308	0.109662534	6.19177708
206.67383	0.18762508	-0.008804017	0.1384186	0.26803318	2.0064516	2.19407668	0.10832539	6.20697988
207.67383	0.18484737	-0.008612151	0.13902278	0.26943341	2.0110245	2.19587187	0.106721679	6.21792087
208.67383	0.19043177	-0.008682378	0.13981654	0.2709507	2.0149784	2.20541017	0.109945834	6.23536697
209.67383	0.19163907	-0.00867889	0.14054014	0.27240139	2.0202384	2.21187747	0.110642869	6.25235427
210.67383	0.18595892	-0.008776715	0.14134632	0.27391595	2.0259829	2.21194182	0.107363433	6.26390762
211.67383	0.1889136	-0.008812335	0.14205106	0.27528977	2.028223	2.2171366	0.109069318	6.2735826
212.67383	0.18463364	-0.008837926	0.14272782	0.27661774	2.036099	2.22073264	0.106598282	6.29293064
213.67383	0.19020328	-0.008775281	0.14367138	0.27856749	2.042804	2.23300728	0.109813915	6.31861528
214.67383	0.1834528	-0.00878387	0.14444779	0.28011173	2.0475876	2.2310404	0.105916523	6.3262156
215.67383	0.18655354	-0.008821596	0.1451925	0.2815634	2.0507407	2.23729424	0.107706737	6.33877564
